Huggins Piano Service,(205) 349-1872,"3718 32nd StTuscaloosa, AL 35401",NA,Tuscaloosa,AL,http://www.imyourcarrier.com
Two Men and a Truck Pelham,(205) 547-0915,Serving Pelham and the Surrounding Area,,Tuscaloosa,AL,http://www.twomenandatruck.com/movers/al…
AAA Moving & Storage Company,(205) 345-4111,"2031 62nd AveTuscaloosa, AL 35401",NA,Tuscaloosa,AL,http://www.parktransfer.com
Big Top Tents,(205) 333-2007,"5605 McFarland BlvdNorthport, AL 35476",NA,Tuscaloosa,AL,http://www.parktransfer.com
Associated Delivery,(205) 333-2007,"5605 McFarland BlvdNorthport, AL 35476",NA,Tuscaloosa,AL,http://www.parktransfer.com
Associated Delivery,(205) 333-2007,"5605 McFarland BlvdNorthport, AL 35476",NA,Tuscaloosa,AL,http://www.parktransfer.com
Super Movers,(205) 637-0201,"3015 Clairmont Ave SBirmingham, AL 35205","{""@context"":""http:\/\/schema.org"",""@type"":""WebSite"",""@id"":""#website"",""url"":""http:\/\/www.movers-birmingham.com\/"",""name"":""Movers Birmingham"",""alternateName"":""Super Movers"",""potentialAction"":{""@type"":""SearchAction"",""target"":""http:\/\/www.movers-birmingham.com\/?s={search_term_string}"",""query-input"":""required name=search_term_string""}}",Tuscaloosa,AL,http://www.movers-birmingham.com
Changing Spaces Moving,(205) 972-0744,Serving Birmingham and the Surrounding Area,"{""@context"":""http:\/\/schema.org"",""@type"":""WebSite"",""@id"":""#website"",""url"":""http:\/\/www.changingspacesmoving.com\/"",""name"":""Changing Spaces Moving Company - Birmingham, Huntsville, Gulf Shores, Orange Beach AL"",""potentialAction"":{""@type"":""SearchAction"",""target"":""http:\/\/www.changingspacesmoving.com\/?s={search_term_string}"",""query-input"":""required name=search_term_string""}}",Tuscaloosa,AL,http://www.changingspacesmoving.com
MoveDaddy,(205) 977-2222,Serving Vestavia and the Surrounding Area,"
			@media only screen
			and (min-device-width : 320px)
			and (max-device-width : 480px) {
				.slide-excerpt { display: none !important; }
			}
		",Tuscaloosa,AL,http://www.movedaddy.com
Sparks Moving & Storage,(205) 553-2817,"6612 University Blvd ECottondale, AL 35453",NA,Tuscaloosa,AL,http://www.movedaddy.com
Kevcor Moving & Packing Company,(205) 402-0011,Serving Pelham and the Surrounding Area,,Tuscaloosa,AL,http://www.kevcormovingcompany.com
Motivated Movers Birmingham,(205) 995-7585,Serving Pelham and the Surrounding Area,"{""@context"":""http:\/\/schema.org"",""@type"":""WebSite"",""@id"":""#website"",""url"":""http:\/\/motivatedmoversbham.com\/"",""name"":""Motivated Movers - Birmingham, AL"",""potentialAction"":{""@type"":""SearchAction"",""target"":""http:\/\/motivatedmoversbham.com\/?s={search_term_string}"",""query-input"":""required name=search_term_string""}}",Tuscaloosa,AL,http://www.motivatedmoversbham.com
Crocker Moving Services,(205) 721-3538,"2100 Southbridge PkwyBirmingham, AL 35209",,Tuscaloosa,AL,http://www.crockermovingservices.com
MacArthur Moving,(256) 960-9763,Serving Albertville and the Surrounding Area,macarthurmoving@yahoo.com,Tuscaloosa,AL,http://www.macarthurmoving.com
Changes In Latitude,(205) 995-5557,"981 Oak Mountain Park RdPelham, AL 35124",,Tuscaloosa,AL,http://www.changesmoving.com
A AA Climate Control Storage,(205) 553-2817,"6008 University Blvd ECottondale, AL 35453",NA,Tuscaloosa,AL,http://www.changesmoving.com
Southern Moving Company,(205) 554-0190,"6612 University Blvd ECottondale, AL 35453",NA,Tuscaloosa,AL,http://www.changesmoving.com
Move Doctors,(205) 305-5474,Serving Birmingham and the Surrounding Area,,Tuscaloosa,AL,http://www.movedoctors205.com
Elite Moving,(205) 886-0534,Serving Bessemer and the Surrounding Area,,Tuscaloosa,AL,http://www.elitemovingco.com
McNulty Truck Lines,(205) 364-0039,"2109 Ridgecrest RdGordo, AL 35466",NA,Tuscaloosa,AL,http://www.elitemovingco.com
American Eagle Moving & Transport,(205) 623-2150,Serving Birmingham and the Surrounding Area,"[if IE]>
<style>@media only screen and (max-width: 960px) {	
	.section td, .section tr, .section tbody {
		display: block !important;
		width: 100% !important; 
		float: left;
		clear: both; margin: 0 auto; text-align: center;
		} }
</style>
<![endif]",Tuscaloosa,AL,http://www.americaneaglemovingusa.com
Move Birmingham,(205) 403-5927,Serving Birmingham and the Surrounding Area,"{""@context"":""http://schema.org"",""@type"":""WebSite"",""url"":""https://www.movebirmingham.com"",""name"":""Road Runner Moving & Storage - Since 1980"",""description"":""<p><span style=\""font-size:9pt\"">Movers in Birmingham, Birmingham Movers Specializing in Moving your Home, Apartment, or Business. Since 1980, The #1 Birmingham Moving Team.</span> Trust the Team With White Trucks!</p>"",""image"":""//static1.squarespace.com/static/54ad8cd3e4b016ec662bbd3e/t/595c2fbdf7e0ab3985c8a7a4/1510840467825/""}",Tuscaloosa,AL,http://www.movebirmingham.com
Able Body Moving & Delivery,(205) 506-0520,Serving Birmingham and the Surrounding Area,"{""@context"":""http:\/\/schema.org"",""@type"":""WebSite"",""@id"":""#website"",""url"":""http:\/\/abmdelivery.com\/"",""name"":""Able Body Delivery"",""potentialAction"":{""@type"":""SearchAction"",""target"":""http:\/\/abmdelivery.com\/?s={search_term_string}"",""query-input"":""required name=search_term_string""}}",Tuscaloosa,AL,http://www.abmdelivery.com
Admiral Movers,(334) 262-6666,Serving Montgomery and the Surrounding Area,"{""@context"":""http:\/\/schema.org"",""@type"":""WebSite"",""@id"":""#website"",""url"":""https:\/\/www.admiralmovers.com\/"",""name"":""Admiral Movers"",""alternateName"":""Mayflower Transit agent"",""potentialAction"":{""@type"":""SearchAction"",""target"":""https:\/\/www.admiralmovers.com\/?s={search_term_string}"",""query-input"":""required name=search_term_string""}}",Tuscaloosa,AL,http://www.admiralmovers.com
Fully Loaded Moving,(205) 531-6290,"Hoover, AL",,Tuscaloosa,AL,http://www.xcmdprompt.wixsite.com/fullyl…
All My Sons Moving & Storage,(205) 421-9790,"3129 Pelham ParkwayPelham, AL 35124",,Tuscaloosa,AL,http://www.allmysons.com
Motivated Movers,(205) 370-2486,"20419 Hetzidah Church RdMcCalla, AL 35111",NA,Tuscaloosa,AL,http://www.allmysons.com
PODS,(877) 776-7252,"2700 13th St EnsleyBirmingham, AL 35208",So excited for our @PODS container to come tomorrow! Can't wait to unpack it... Hope it comes early!,Tuscaloosa,AL,http://www.pods.com
Coleman Worldwide Moving,(205) 942-0009,"2120 - A Montevallo RdBirmingham, AL 35211",,Tuscaloosa,AL,http://www.colemanallied.com
